,title,price,location,living_space,plot_area,rooms,broker,link,coordinates,latitude,longitude
0,Geerdinkhof 629,575.000 k.k.,"Geerdinkhof 629, 1103 RM Amsterdam",129 m^2,238 m^2,5,Linger OG,https://www.funda.nl/koop/amsterdam/huis-88118233-geerdinkhof-629/,"629, Geerdinkhof, Nieuw Grunder, Amsterdam, Noord-Holland, Nederland, 1103RM, Nederland",52.3261465,4.9796444
1,Lesbosstraat 56,595.000 k.k.,"Lesbosstraat 56, 1060 SX Amsterdam",129 m^2,130 m^2,5,Lunshof Makelaardij Amstelveen,https://www.funda.nl/koop/amsterdam/huis-42753096-lesbosstraat-56/,"56, Lesbosstraat, De Aker, Sloten, Amsterdam, Noord-Holland, Nederland, 1060SX, Nederland",52.3455962,4.7928523
2,Brigantijnkade 44,750.000 k.k.,"Brigantijnkade 44, 1086 VB Amsterdam",150 m^2,132 m^2,5,RET Makelaars - De makelaar van Amsterdam-Oost!,https://www.funda.nl/koop/amsterdam/huis-42753840-brigantijnkade-44/,"44, Brigantijnkade, IJburg, Amsterdam, Noord-Holland, Nederland, 1086VB, Nederland",52.3639065,4.985684
3,Gerard Ruttenhof 1,900.000 k.k.,"Gerard Ruttenhof 1, 1087 EL Amsterdam",158 m^2,290 m^2,5,Hallie & Van Klooster Makelaardij,https://www.funda.nl/koop/amsterdam/huis-42752662-gerard-ruttenhof-1/,"1, Gerard Ruttenhof, IJburg, Amsterdam, Noord-Holland, Nederland, 1087EL, Nederland",52.3565915,4.9940145
4,Galvanistraat 11,1.150.000 k.k.,"Galvanistraat 11, 1098 NL Amsterdam",153 m^2,120 m^2,7,SEM makelaars,https://www.funda.nl/koop/amsterdam/huis-42758012-galvanistraat-11/,"11, Galvanistraat, Middenmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098NL, Nederland",52.3534812,4.9406434
5,H. Stolleplantsoen 42,850.000 k.k.,"H. Stolleplantsoen 42, 1022 KK Amsterdam",170 m^2,106 m^2,7,Fransen & Kroes Makelaars,https://www.funda.nl/koop/amsterdam/huis-42758533-h-stolleplantsoen-42/,"42, H. Stolleplantsoen, Elzenhagen-Noord, Noord, Amsterdam, Noord-Holland, Nederland, 1022KK, Nederland",52.4068228,4.9363407
6,Kantershof 422,495.000 k.k.,"Kantershof 422, 1104 GX Amsterdam",151 m^2,115 m^2,6,AVT Makelaars,https://www.funda.nl/koop/amsterdam/huis-42758462-kantershof-422/,"422, Kantershof, K-buurt, Amsterdam, Noord-Holland, Nederland, 1104GX, Nederland",52.3169324,4.9897457
7,Welsumerstraat 20,519.000 k.k.,"Welsumerstraat 20, 1109 BV Amsterdam",129 m^2,130 m^2,4,Nienaber Weesp B.V.,https://www.funda.nl/koop/amsterdam/huis-42756714-welsumerstraat-20/,"20, Welsumerstraat, Driemond, Amsterdam, Noord-Holland, Nederland, 1109BV, Nederland",52.305635,5.0146552
8,Adelaarsweg 9,1.050.000 k.k.,"Adelaarsweg 9, 1021 BM Amsterdam",189 m^2,120 m^2,7,Cocq Makelaars,https://www.funda.nl/koop/amsterdam/huis-88110179-adelaarsweg-9/,"9, Adelaarsweg, Amsterdam, Noord-Holland, Nederland, 1021BM, Nederland",52.3841061,4.9116049
9,Boas en Judelshof 15,545.000 k.k.,"Boas en Judelshof 15, 1068 WB Amsterdam",108 m^2,96 m^2,4,Ameo Makelaars & Taxateurs - Amsterdam West,https://www.funda.nl/koop/amsterdam/huis-42644282-boas-en-judelshof-15/,"15, Boas en Judelshof, Nieuw-West, Sloten, Amsterdam, Noord-Holland, Nederland, 1068WB, Nederland",52.3537887,4.8138206
10,Zwanebloemlaan 135,1.250.000 k.k.,"Zwanebloemlaan 135, 1087 KE Amsterdam",197 m^2,238 m^2,7,Makelaarskantoor BEN,https://www.funda.nl/koop/amsterdam/huis-42644917-zwanebloemlaan-135/,"135, Zwanebloemlaan, IJburg, Amsterdam, Noord-Holland, Nederland, 1087KE, Nederland",52.3519086,4.9993545
11,Erich Salomonstraat 52,625.000 k.k.,"Erich Salomonstraat 52, 1087 AW Amsterdam",116 m^2,7.758 m^2,6,Makelaarskantoor BEN,https://www.funda.nl/koop/amsterdam/huis-42644839-erich-salomonstraat-52/,"52, Erich Salomonstraat, IJburg, Amsterdam, Noord-Holland, Nederland, 1087AW, Nederland",52.3592466,4.9924349
12,Zuideinde 384,899.011 k.k.,"Zuideinde 384, 1035 PP Amsterdam",148 m^2,370 m^2,4,11 Makelaars BV I Baerz & Co,https://www.funda.nl/koop/amsterdam/huis-42644548-zuideinde-384/,"384, Zuideinde, Oostzanerwerf, Amsterdam, Noord-Holland, Nederland, 1035PP, Nederland",52.418324,4.8944948
13,Alpert van Metzhof 6,500.000 k.k.,"Alpert van Metzhof 6, 1065 AP Amsterdam",131 m^2,79 m^2,5,URBAN MAKELAARS AMSTERDAM,https://www.funda.nl/koop/amsterdam/huis-42643209-alpert-van-metzhof-6/,"6, Alpert van Metzhof, Slotervaart, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1065AP, Nederland",52.3593991,4.8254922
14,Plejadenweg 19,475.000 k.k.,"Plejadenweg 19, 1033 JG Amsterdam",77 m^2,111 m^2,3,Fransen & Kroes Makelaars,https://www.funda.nl/koop/amsterdam/huis-42643779-plejadenweg-19/,"19, Plejadenweg, Tuindorp Oostzaan, Amsterdam, Noord-Holland, Nederland, 1033JG, Nederland",52.412821,4.8831946
15,Pracanalaan 14,850.000 k.k.,"Pracanalaan 14, 1060 RC Amsterdam",179 m^2,173 m^2,5,makelaarFRANK,https://www.funda.nl/koop/amsterdam/huis-88007205-pracanalaan-14/,"14, Pracanalaan, De Aker, Sloten, Amsterdam, Noord-Holland, Nederland, 1060RC, Nederland",52.3482062,4.7776419
16,Elzenhagensingel 19,750.000 k.k.,"Elzenhagensingel 19, 1022 LA Amsterdam",138 m^2,193 m^2,4,Hoekstra en van Eck Amsterdam Noord,https://www.funda.nl/koop/amsterdam/huis-42642320-elzenhagensingel-19/,"19, Elzenhagensingel, Elzenhagen-Noord, Noord, Amsterdam, Noord-Holland, Nederland, 1022LA, Nederland",52.4057459,4.9354772
17,Abrikozenstraat 94,375.000 k.k.,"Abrikozenstraat 94, 1033 KE Amsterdam",70 m^2,128 m^2,3,Linger OG,https://www.funda.nl/koop/amsterdam/huis-88005438-abrikozenstraat-94/,"94, Abrikozenstraat, Tuttifruttidorp, Noord, Amsterdam, Noord-Holland, Nederland, 1033KE, Nederland",52.4111102,4.8996308
