,title,price,location,living_space,plot_area,rooms,broker,link,coordinates,latitude,longitude
0,Nassaulaan 54,339.000 k.k.,"Nassaulaan 54, 8071 NB Nunspeet",113 m^2,145 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88116275-nassaulaan-54/,"54, Nassaulaan, Nunspeet, Gelderland, Nederland, 8071NB, Nederland",52.3814991,5.7764672
1,Whemelaan 5,595.000 k.k.,"Whemelaan 5, 8071 GZ Nunspeet",121 m^2,405 m^2,5,Makelaardij Van de Weerd,https://www.funda.nl/koop/nunspeet/huis-42759661-whemelaan-5/,"5, Whemelaan, Nunspeet, Gelderland, Nederland, 8071GZ, Nederland",52.3774714,5.7851486
2,Van Karnebeekstraat 44,299.000 k.k.,"Van Karnebeekstraat 44, 8072 BP Nunspeet",128 m^2,155 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88113083-van-karnebeekstraat-44/,"44, Van Karnebeekstraat, Oosteinde, Nunspeet, Gelderland, Nederland, 8072BP, Nederland",52.3829558,5.8086696
3,Ben Viegersstraat 38,395.000 k.k.,"Ben Viegersstraat 38, 8072 ZH Nunspeet",132 m^2,221 m^2,6,Van de Loosdrecht WBM B.V.,https://www.funda.nl/koop/nunspeet/huis-42644513-ben-viegersstraat-38/,"38, Ben Viegersstraat, Nunspeet, Gelderland, Nederland, 8072ZH, Nederland",52.3871256,5.7969726
4,Van Karnebeekstraat 41,275.000 k.k.,"Van Karnebeekstraat 41, 8072 BM Nunspeet",115 m^2,148 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88006393-van-karnebeekstraat-41/,"41, Van Karnebeekstraat, Oosteinde, Nunspeet, Gelderland, Nederland, 8072BM, Nederland",52.3831063,5.80777
5,Oosterlaan 100,469.000 k.k.,"Oosterlaan 100, 8072 CA Nunspeet",121 m^2,461 m^2,6,Makelaardij Van de Weerd,https://www.funda.nl/koop/nunspeet/huis-42641786-oosterlaan-100/,"100, Oosterlaan, Nunspeet, Gelderland, Nederland, 8072CA, Nederland",52.3814442,5.8015121
6,De Buntezoom 80,579.000 k.k.,"De Buntezoom 80, 8071 TT Nunspeet",170 m^2,293 m^2,6,Van de Loosdrecht WBM B.V.,https://www.funda.nl/koop/nunspeet/huis-42640973-de-buntezoom-80/,"80, De Buntezoom, Nunspeet, Gelderland, Nederland, 8071TT, Nederland",52.3853241,5.7818643
7,Ben Viegersstraat 10,345.000 k.k.,"Ben Viegersstraat 10, 8072 ZG Nunspeet",139 m^2,200 m^2,7,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88004355-ben-viegersstraat-10/,"10, Ben Viegersstraat, Nunspeet, Gelderland, Nederland, 8072ZG, Nederland",52.3868326,5.7961344
8,Meester Drostweg 15,449.000 k.k.,"Meester Drostweg 15, 8071 HE Nunspeet",121 m^2,475 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88097722-meester-drostweg-15/,"15, Meester Drostweg, Nunspeet, Gelderland, Nederland, 8071HE, Nederland",52.3791234,5.7833815
9,Eperweg 41,795.000 k.k.,"Eperweg 41, 8072 DA Nunspeet",157 m^2,860 m^2,4,Makelaardij Van de Weerd,https://www.funda.nl/koop/nunspeet/huis-42615461-eperweg-41/,"41, Eperweg, Nunspeet, Gelderland, Nederland, 8072DA, Nederland",52.3788389,5.7962127
10,George Breitnerstraat 5,769.000 k.k.,"George Breitnerstraat 5, 8072 HM Nunspeet",204 m^2,759 m^2,6,Makelaardij Van de Weerd,https://www.funda.nl/koop/nunspeet/huis-42603501-george-breitnerstraat-5/,"5, George Breitnerstraat, Nunspeet, Gelderland, Nederland, 8072HM, Nederland",52.3895301,5.7959579
11,Heemskerklaan 46,389.000 k.k.,"Heemskerklaan 46, 8072 AG Nunspeet",117 m^2,250 m^2,5,Bosrijck BV,https://www.funda.nl/koop/nunspeet/huis-88077004-heemskerklaan-46/,"46, Heemskerklaan, Oosteinde, Nunspeet, Gelderland, Nederland, 8072AG, Nederland",52.3831858,5.8066924
12,Notaris Meesterserf 9,325.000 k.k.,"Notaris Meesterserf 9, 8071 HW Nunspeet",83 m^2,118 m^2,3,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88117228-notaris-meesterserf-9/,"9, Notaris Meesterserf, Nunspeet, Gelderland, Nederland, 8071HW, Nederland",52.3804001,5.785335
